cell_type,cluster_id,cell_num,x,y,distance_to_target,compactness
AGM,single_cluster,355,120.6,165.3,14.3,17.01
AGM,target,70,132.9,172.7,0.0,0.0
Branchial arch,single_cluster,29,130.6,187.3,14.8,4.16
Cavity,single_cluster,89,122.6,168.0,11.3,19.44
Connective tissue,single_cluster,74,105.7,163.4,28.7,8.53
Dermomyotome,single_cluster,197,124.1,156.5,18.3,20.54
Heart,single_cluster,118,122.1,179.1,12.5,7.13
Liver,single_cluster,85,124.2,171.0,8.8,7.73
Mesenchyme,single_cluster,35,122.7,155.1,20.3,24.26
Neural crest,single_cluster,99,139.3,186.3,15.1,5.5
Sclerotome,single_cluster,204,141.7,170.2,9.2,10.61
